"ID","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default.payment.next.month","DEFAULT","AVG_UTILIZATION_RATE","OVERSPENDER","TOTAL_EXCESS_BALANCE"
18181,360000,"Male","Graduate School","Married",37,-2,-2,-2,-2,-2,-40,8147,1564,4941,2666,588,8187,1571,4965,2679,590,529,0,"No Default Next Month",0.00994777777777778,"FALSE",-358485.6
20815,180000,"Male","Graduate School","Single",37,-1,-1,-1,0,0,49531,45612,0,245863,250472,251024,45612,0,245863,5009,5040,0,0,"No Default Next Month",0.881078888888889,"FALSE",-72588.2
17886,50000,"Male","Graduate School","Single",26,0,0,0,0,0,48924,48593,49459,50160,49244,50531,2200,2200,1890,2000,2000,1800,0,"No Default Next Month",0.991948,"FALSE",-2380.6
20887,280000,"Male","University","Single",47,0,0,0,0,0,229281,233992,186321,180598,20596,15311,20213,8003,9002,5000,5000,5000,0,"No Default Next Month",0.45487,"FALSE",-159037.4
17996,240000,"Male","Graduate School","Single",32,-2,-2,-2,-2,-2,3162,3162,3124,3162,3162,3162,3162,3124,3200,3162,3162,3131,0,"No Default Next Month",0.0131433333333333,"FALSE",-240001.4
24485,20000,"Male","High School","Single",48,-1,-2,-1,-1,-1,170,-220,-610,390,0,19993,0,0,1390,0,20773,400,0,"No Default Next Month",0.19553,"FALSE",-20602
1526,20000,"Male","University","Single",35,2,2,2,2,2,11916,11434,13433,13398,13040,14518,0,2200,480,0,1702,200,0,"No Default Next Month",0.65823,"FALSE",-7751.8
29251,20000,"Male","University","Single",25,2,3,2,0,0,18885,21563,20943,20152,19754,19204,3300,0,0,2,384,2488,1,"Defaults Next Month",1.01616,"TRUE",-251.599999999999
2245,240000,"Male","Graduate School","Married",34,-1,-1,-1,-1,0,228,23282,48595,37573,26296,15788,23295,49000,37573,26296,7000,46495,0,"No Default Next Month",0.126278333333333,"FALSE",-242966
7161,60000,"Male","Graduate School","Single",24,0,0,0,0,0,20873,22228,22691,22816,26587,22917,2000,1246,720,4780,1700,4000,0,"No Default Next Month",0.390796666666667,"FALSE",-39041.4
5141,200000,"Male","Graduate School","Married",43,0,-1,0,0,0,202225,-4359,190829,96686,100131,102467,1029,200000,10000,5000,4000,4000,0,"No Default Next Month",0.485754,"FALSE",-147449.2
29744,50000,"Male","University","Single",34,0,-1,-1,-2,-2,4166,0,4166,0,0,0,0,4166,0,0,0,0,0,"No Default Next Month",0.016664,"FALSE",-50000
6726,200000,"Male","Graduate School","Married",36,0,2,2,2,0,2346,4802,4579,5840,5603,6352,2500,0,1500,0,1000,1000,1,"Defaults Next Month",0.027176,"FALSE",-195264.8
13800,20000,"Male","University","Single",24,0,0,2,0,0,6128,7171,9582,9282,9977,10812,1300,2700,0,1000,1000,0,0,"No Default Next Month",0.46824,"FALSE",-11575.2
5720,280000,"Male","Graduate School","Married",49,-2,-2,-2,-2,-2,11797,6163,-54,-54,-54,-54,6231,0,0,0,0,0,0,"No Default Next Month",0.00424785714285714,"FALSE",-278810.6
2643,50000,"Male","University","Single",25,0,0,0,0,3,21316,23038,24720,26370,29332,28574,2375,2375,2375,3547,0,0,0,"No Default Next Month",0.528136,"FALSE",-25252.6
10593,80000,"Male","University","Single",26,0,0,-2,-2,-2,5844,6700,0,0,0,0,1067,0,0,0,0,0,0,"No Default Next Month",0.01675,"FALSE",-78660
8393,500000,"Male","University","Single",32,-1,0,0,0,-1,264,286,550,286,22,14454,286,528,0,128,15239,100000,1,"Defaults Next Month",0.0062392,"FALSE",-520059.4
27180,180000,"Male","Graduate School","Married",38,0,0,0,0,0,21336,22376,23412,25013,25899,26680,1400,1400,2000,1300,1200,1000,0,"No Default Next Month",0.137088888888889,"FALSE",-156704
6381,150000,"Male","University","Married",32,0,0,0,0,0,141346,145483,146410,142858,146007,130721,10000,7000,4000,8071,4000,3283,0,"No Default Next Month",0.948638666666667,"FALSE",-12975
9610,20000,"Male","University","Married",42,2,0,0,0,0,17614,17042,18052,18562,18814,19500,0,1300,810,700,1000,900,1,"Defaults Next Month",0.9197,"FALSE",-2548
4055,50000,"Male","University","Single",24,-1,-1,-1,0,-1,390,390,390,780,390,390,390,390,780,0,390,0,0,"No Default Next Month",0.00936,"FALSE",-49844
27562,230000,"Male","Graduate School","Married",56,0,0,0,0,0,38349,39154,39921,40828,37934,38889,1933,1700,1600,1340,1548,1844,0,"No Default Next Month",0.171066086956522,"FALSE",-192261.2
12868,20000,"Male","High School","Single",40,0,2,0,0,-2,5945,8184,7839,7999,0,0,2345,0,160,0,0,0,1,"Defaults Next Month",0.24022,"FALSE",-15227.6
7290,20000,"Male","University","Single",33,0,0,0,0,0,36658,19253,20179,18800,19500,0,4000,1409,0,1000,0,0,0,"No Default Next Month",0.77732,"FALSE",-4935.4
2399,130000,"Male","Graduate School","Single",29,0,0,0,0,0,126974,122107,108542,89356,91024,89779,5988,4560,3300,3509,3500,3415,0,"No Default Next Month",0.770473846153846,"FALSE",-33495.2
8682,450000,"Male","Graduate School","Married",34,0,0,0,0,0,451113,460261,455701,451559,429235,391559,18500,20000,17000,16300,14108,16000,0,"No Default Next Month",0.972584444444444,"FALSE",-29018.6
1186,10000,"Male","University","Single",23,0,0,0,0,-2,3714,4158,4654,3080,0,0,1104,1000,31,0,0,0,0,"No Default Next Month",0.23784,"FALSE",-7827.8
1555,110000,"Male","Graduate School","Single",28,2,0,0,0,0,44278,41812,43095,46292,44744,36243,0,2000,5000,1514,1197,982,0,"No Default Next Month",0.385792727272727,"FALSE",-69701.4
1427,200000,"Male","Graduate School","Single",42,-2,-2,-2,-2,-2,470,740,3774,836,1325,1440,740,3782,836,1325,1440,506,0,"No Default Next Month",0.008115,"FALSE",-199954.8
